X,Y,id,amenity,created_by,ref,wheelchair,source,wetap:photo,wetap:status,wetap:statusnote,note:it,description,indoor,fixme,comment:it,comment,name,note,access,comment:en
9.1614859,45.487824,node/1875082756,drinking_water,,,,,,,,,,,Position estimated,,,,,,
9.1464099,45.4929436,node/1875096636,drinking_water,,,,,,,,,,,,,,,,,
9.234575,45.4730575,node/1879390028,drinking_water,,,,,,,,,,,,,,,,,
9.0982817,45.4302775,node/1880961868,drinking_water,,,,,,,,,,,,,,,,,
9.17707,45.4842282,node/1885359281,drinking_water,,,,,,,,,,,,,,,,,
9.2238974,45.4889435,node/1896236924,drinking_water,,,,,,,,,,,,,,,,,
9.2240366,45.4903135,node/1896236941,drinking_water,,,,,,,,,,,,,,,,,
9.2321498,45.5019802,node/1908945065,drinking_water,,,,,,,,,,,,,,,,,
9.1072514,45.4826963,node/1917027874,drinking_water,,,,,,,,,,,,,,,,,
9.0974868,45.4622286,node/1918008562,drinking_water,,,,,,,,,,,,,,,,,
9.1014677,45.474858,node/1918008612,drinking_water,,,,,,,,,,,,,,,,,
9.2425354,45.4821962,node/1919730390,drinking_water,,,,,,,,,,,,,,,,,
9.095475,45.4568317,node/1923994920,drinking_water,,,,,,,,,,,,,,,,,
9.1547772,45.466612,node/1934402398,drinking_water,,,,,,,,,,,,,,,,,
9.1569579,45.4871443,node/1937726695,drinking_water,,,,,,,,,,,,,,,,,
9.2062153,45.4678403,node/1937818868,drinking_water,,138,,,,,,,,,,sul retro targhetta circolare colore ottone con inciso numero 138,,,,,
9.1767846,45.5140031,node/1951175625,drinking_water,,,,,,,,,,,,,,,,,
9.2355549,45.4790917,node/2010207747,drinking_water,,,,,,,,,,,,,,,,,
9.1634212,45.4316536,node/2023621245,drinking_water,,,,,,,,,,,,,,,,,
9.1716156,45.5165419,node/2032424283,drinking_water,,,,,,,,,,,"position approximated, to be checked",,,,,,
9.2681679,45.4226115,node/2063591750,drinking_water,,,,,,,,,,,,,,,,,
9.1874673,45.4807835,node/2095675770,drinking_water,,,,,,,,,,,,,,,,,
9.1865101,45.4808998,node/2095675771,drinking_water,,,,,,,,,,,,,,,,,
9.0928363,45.4592846,node/2102151476,drinking_water,,,,,,,,,,,,,,,,,
9.1877387,45.4574891,node/2131565407,drinking_water,,,,,,,,,,,,,,,,,
9.190597,45.449226,node/2153673418,drinking_water,,,,,,,,,,,Position extimated,,,,,,
9.2110086,45.4766584,node/2185629717,drinking_water,,135,,,,,,,drago verde,,,,,,,,
9.2124159,45.4785086,node/2185725472,drinking_water,,134,,,,,,,drago verde,,,,,,,,
9.2148731,45.4809058,node/2185734849,drinking_water,,133,,survey,,,,,drago verde,,,,,,,,
9.1013624,45.4294771,node/2185835517,drinking_water,,,,,,,,,,,,,,,,,
9.2042419,45.4305805,node/2208065896,drinking_water,,,,survey,,,,,,,,,,,,,
9.0955945,45.4370254,node/2246943880,drinking_water,,,,,,,,,,,,,,,,,
9.2015862,45.4733961,node/2279297698,drinking_water,,,,,,,,,,,,,,,,,
9.2414062,45.4565188,node/2286139704,drinking_water,,,,,,,,,,,,,,,,,
9.2241992,45.4640605,node/2288805792,drinking_water,,,,,,,,,,,,,,,,,
9.2259568,45.4631218,node/2288805795,drinking_water,,,,,,,,,,,,,,,,,
9.2207483,45.4629508,node/2288810607,drinking_water,,,,,,,,,,,,,,,,,
9.242733,45.4890783,node/2302171470,drinking_water,,,,,,,,,,,,,,,,,
9.2272303,45.4701669,node/2303474604,drinking_water,,,,,,,,,,,,,,,,,
9.194254,45.4537756,node/2311341549,drinking_water,,,,,,,,,,,,,,,,,
9.1925171,45.4558517,node/2311341568,drinking_water,,,,,,,,,,,,,,,,,
9.2510116,45.479721,node/2315634733,drinking_water,,,,,,,,,,,,,,,,,
9.1897565,45.4752333,node/2340989636,drinking_water,,,,,,,,,,,,,,,,,
9.111901,45.440136,node/2351682965,drinking_water,,,,wetap.org,,unknown,,,parco giorgella corsico,,,,,,,,
9.226537,45.48433,node/2351682990,drinking_water,,,,wetap.org,,working,,,vallazze-ampere angolo via vallazze- via ampere,,,,,,,,
9.2270461,45.5031516,node/2387910032,drinking_water,,,,,,,,,,,,,,,,,
9.2118637,45.4775432,node/2403763379,drinking_water,,,,,,,,,,,,,,,,,
9.2131266,45.4582062,node/2411458281,drinking_water,,,,,,,,,,,Position estimated,,,,,,
9.17082,45.4489418,node/2419934629,drinking_water,,,,,,,,,,,,,,,,,
9.1782226,45.4859323,node/2422251430,drinking_water,,,,,,,,,,,,,,,,,
9.1794626,45.4863572,node/2422251433,drinking_water,,,,,,,,,,,,,,,,,
9.1765105,45.487019,node/2422251435,drinking_water,,,,,,,,,,,,,,,,,
9.1777673,45.4873636,node/2422251441,drinking_water,,,,,,,,,,,,,,,,,
9.1791777,45.4879726,node/2422251443,drinking_water,,,,,,,,,,,,,,,,,
9.180314,45.4879791,node/2422251445,drinking_water,,,,,,,,,,,,,,,,,
9.1756364,45.4882702,node/2422251448,drinking_water,,,,,,,,,,,,,,,,,
9.1790297,45.4884953,node/2422251450,drinking_water,,,,,,,,,,,,,,,,,
9.1792196,45.4888243,node/2422251452,drinking_water,,,,,,,,,,,,,,,,,
9.1788007,45.4888771,node/2422251455,drinking_water,,,,,,,,,,,,,,,,,
9.175618,45.4890807,node/2422251457,drinking_water,,,,,,,,,,,,,,,,,
9.1782058,45.4891551,node/2422251459,drinking_water,,,,,,,,,,,,,,,,,
9.1772562,45.489627,node/2422251462,drinking_water,,,,,,,,,,,,,,,,,
9.1761642,45.4898815,node/2422251464,drinking_water,,,,,,,,,,,,,,,,,
9.2299707,45.4674353,node/2461220915,drinking_water,,,,,,,,,,,,,,,,,
9.2038167,45.4846208,node/2465543544,drinking_water,,,,,,,,,,,,,,,,,
9.2027515,45.4851428,node/2465543547,drinking_water,,,,,,,,,,,,,,,,,
9.2146266,45.4470041,node/2466796995,drinking_water,,,,,,,,,,,,,,,,,
9.226579,45.4494925,node/2472157952,drinking_water,,,,,,,,,,,,,,,,,
9.2248587,45.4503464,node/2472157954,drinking_water,,,,,,,,,,,,,,,,,
9.2204752,45.4617258,node/2473297556,drinking_water,,,,,,,,,,,,,,,,,
9.2141581,45.4464478,node/2477486880,drinking_water,,,,,,,,,,,,,,,,,
9.1914551,45.4858366,node/2488582293,drinking_water,,,,,,,,,,,,,,,,,
9.1970881,45.4896143,node/2488600585,drinking_water,,,,,,,,,,,,,,,,,
9.1870911,45.4922053,node/2491579508,drinking_water,,,,,,,,,,,,,,,,,
9.2363019,45.4844532,node/2510477099,drinking_water,,,,,,,,,,,,,,,,,
9.2145368,45.4677575,node/2562158866,drinking_water,,,,,,,,,,,,,,,,,
9.2132565,45.4679213,node/2562158867,drinking_water,,,,,,,,,,,,,,,,,
9.1585578,45.4532915,node/2566534578,drinking_water,,,,,,,,,,,Position estimated,,,,,,
9.1592514,45.4554279,node/2566534580,drinking_water,,,,,,,,,,,,,,,,,
9.2451274,45.4604325,node/2584772274,drinking_water,,,,,,,,,,,,,,,,,
9.2688292,45.4245233,node/2597738474,drinking_water,,,,,,,,,,,,,,,,,
